|S.No.|Book|Author(s)|Link (PDF)|Edn, Vol|Year|Publisher|
|:---:|:---|:---|:---:|:---:|:---:|:---|
|1|A Course in Calculus and Real Analysis|Sudhir R. Ghorpade, Balmohan V. Limaye|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/A%20Course%20in%20Calculus%20and%20Real%20Analysis%20-%20Sudhir%20R.%20Ghorpade%2c%20Balmohan%20V.%20Limaye%20(2006%2c%20Springer).pdf)|N/A|2006|Springer|
|2|An Introduction to the Theory of Groups|Joseph J. Rotman|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|4th|1995|Springer|
|3|Calculus|Howard Anton, Irl Bivens, Stephen Davis|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Calculus%20-%20Howard%20Anton%2c%20Irl%20Bivens%2c%20Stephen%20Davis%20(2012%2c%20Wiley)%2010th%20Edition.pdf)|10th|2012|Wiley|
|4|Calculus: One-Variable Calculus with an Introduction to Linear Algebra|Tom M. Apostol|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|2nd, Vol I|1967|Wiley|
|5|Complex Numbers from A to ... Z|Titu Andreescu, Dorin Andrica|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Complex%20Numbers%20from%20A%20to%20...%20Z%20-%20Titu%20Andreescu%2c%20Dorin%20Andrica%20(2014%2c%20Birkhäuser)%202nd%20Edition.pdf)|2nd|2014|Birkhäuser|
|6|Contemporary Abstract Algebra|Joseph Gallian|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Contemporary%20Abstract%20Algebra%20-%20Joseph%20Gallian%20(2017%2c%20Cengage)%209th%20Edition.pdf)|9th|2017|Cengage|
|7|Differential Calculus|Dr. Gorakh Prasad|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|19th|2016|Pothishala|
|8|Differential Equations|Shepley L. Ross|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|3rd|1984|Wiley|
|9|Differential Equations and Boundary Value Problems: Computing and Modeling| C. Henry Edwards, David E. Penney, David T. Calvis|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Differential%20Equations%20and%20Boundary%20Value%20Problems%20-%20Computing%20and%20Modeling%20-%20%20C.%20Henry%20Edwards%2c%20David%20E.%20Penney%2c%20David%20T.%20Calvis%20(2015%2c%20Pearson)%205th%20Edition.pdf)|5th|2015|Pearson|
|10|Differential Equations with Applications and Historical Notes|George F. Simmons|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Differential%20Equations%20with%20Applications%20and%20Historical%20Notes%20-%20George%20F.%20Simmons%20(2017%2c%20CRC)%203rd%20Edition.pdf)|3rd|2017|CRC|
|11|Discrete Mathematics With Graph Theory|Edgar G Goodaire, Michael M. Parmenter|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Discrete%20Mathematics%20With%20Graph%20Theory%20-%20Edgar%20G%20Goodaire%2c%20Michael%20M.%20Parmenter%20(2006%2c%20Pearson)%203rd%20Edition.pdf)|3rd|2006|Pearson|
|12|Elementary Analysis: The Theory of Calculus|Kenneth A. Ross|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Elementary%20Analysis%20-%20The%20Theory%20of%20Calculus%20-%20Kenneth%20A.%20Ross%20(2013%2c%20Springer)%202nd%20Edition.pdf)|2nd|2013|Springer|
|13|Elementary Linear Algebra|Stephen Andrilli, David Hecker|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Elementary%20Linear%20Algebra%20-%20Stephen%20Andrilli%2c%20David%20Hecker%20(2016%2c%20Elsevier%20(Academic%20Press))%205th%20Edition.pdf)|5th|2016|Elsevier (Academic Press)|
|14|Elementary Number Theory|David M. Burton|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Elementary%20Number%20Theory%20-%20David%20M.%20Burton%20(2011%2c%20McGraw-Hill%20Higher%20Education)%207th%20Edition.pdf)|7th|2011|McGraw-Hill Higher Education|
|15|Elementary Real Analysis|Brian S. Thomson, Judith B. Bruckner, Andrew M. Bruckner|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Elementary%20Real%20Analysis%20-%20Brian%20S.%20Thomson%2c%20Judith%20B.%20Bruckner%2c%20Andrew%20M.%20Bruckner%20(2001%2c%20Prentice%20Hall).pdf)|N/A|2001|Prentice Hall|
|16|Elements of Real Analysis|Charles G. Denlinger|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|N/A|2011|Jones and Bartlett|
|17|First Course in the Theory of Equations|Leonard Eugene Dickson|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/First%20Course%20in%20the%20Theory%20of%20Equations%20-%20Leonard%20Eugene%20Dickson%20(2009%2c%20Gutenberg).pdf)|N/A|2009|Gutenberg|
|18|Introduction to Real Analysis|Robert G. Bartle, Donald R. Sherbert|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Introduction%20to%20Real%20Analysis%20-%20Robert%20G.%20Bartle%2c%20Donald%20R.%20Sherbert%20(2011%2c%20Wiley)%204th%20Edition.pdf)|4th|2011|Wiley|
|19|Introduction to the Theory of Statistics|Alexander M. Mood, Franklin A. Graybill, Duane C. Boes|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Introduction%20to%20the%20Theory%20of%20Statistics%20-%20Alexander%20M.%20Mood%2c%20Franklin%20A.%20Graybill%2c%20Duane%20C.%20Boes%20(1974%2c%20McGraw-Hill)%203rd%20Edition.pdf)|3rd|1974|McGraw-Hill|
|20|Linear Algebra|Kenneth Hoffman, Ray Kunze|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Linear%20Algebra%20-%20Kenneth%20Hoffman%2c%20Ray%20Kunze%20(1971%2c%20Prentice%20Hall)%202nd%20Edition.pdf)|2nd|1971|Prentice Hall|
|21|Linear Algebra|Stephen H. Friedberg, Arnold J. Insel, Lawrence E. Spence|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Linear%20Algebra%20-%20Stephen%20H.%20Friedberg%2c%20Arnold%20J.%20Insel%2c%20Lawrence%20E.%20Spence%20(2003%2c%20Prentice%20Hall)%204th%20Edition.pdf)|4th|2003|Prentice Hall|
|22|Linear Algebra and Its Applications|David C. Lay, Steven R. Lay, Judith McDonald|[Drive](https://drive.google.com/file/d/UID_GOES_HERE/view)|5th|2016|Pearson|
|23|Mathematical Modelling with Case Studies. Using Maple, MATLAB|Belinda Barnes, Glenn R. Fulford|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Mathematical%20Modelling%20with%20Case%20Studies.%20Using%20Maple%2c%20MATLAB%20-%20Belinda%20Barnes%2c%20Glenn%20R.%20Fulford%20(2015%2c%20CRC)%203rd%20Edition.pdf)|3rd|2015|CRC|
|24|Principles of Real Analysis|Charalambos D. Aliprantis, Owen Burkinshaw|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Principles%20of%20Real%20Analysis%20-%20Charalambos%20D.%20Aliprantis%2c%20Owen%20Burkinshaw%20(1998%2c%20Academic%20Press)%203rd%20Edition.pdf)|3rd|1998|Academic Press|
|25|Probability and Statistics for Engineering and the Sciences|Jay L. Devore|[GitHub](https://raw.githubusercontent.com/malloc42/cool-maths-books/main/Books/Probability%20and%20Statistics%20for%20Engineering%20and%20the%20Sciences%20-%20Jay%20L.%20Devore%20(2016%2c%20Cengage)%209th%20Edition.pdf)|9th|2016|Cengage|
